rule,component,line,message,severity,type
java:S3398,service/src/main/java/org/whispersystems/textsecuregcm/push/ApnPushNotificationScheduler.java,237,"Move this method into ""NotificationWorker"".",MINOR,CODE_SMELL
java:S2629,service/src/main/java/org/whispersystems/textsecuregcm/push/ApnPushNotificationScheduler.java,280,Use the built-in formatting to construct this argument.,MAJOR,CODE_SMELL
java:S3457,service/src/main/java/org/whispersystems/textsecuregcm/push/ApnPushNotificationScheduler.java,280,Format specifiers should be used instead of string concatenation.,MAJOR,CODE_SMELL
java:S1118,service/src/main/java/org/whispersystems/textsecuregcm/metrics/MessageMetrics.java,18,Add a private constructor to hide the implicit public one.,MAJOR,CODE_SMELL
java:S1602,service/src/main/java/org/whispersystems/textsecuregcm/push/APNSender.java,136,Remove useless curly braces around statement,MINOR,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/push/APNSender.java,38,"Define a constant instead of duplicating this literal ""default"" 3 times.",CRITICAL,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/push/APNSender.java,39,"Define a constant instead of duplicating this literal ""APN_Message"" 4 times.",CRITICAL,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/websocket/AuthenticatedConnectListener.java,69,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S108,service/src/main/java/org/whispersystems/textsecuregcm/websocket/AuthenticatedConnectListener.java,106,Either remove or fill this block of code.,MAJOR,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/storage/MessagesCache.java,432,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S6204,service/src/main/java/org/whispersystems/textsecuregcm/controllers/MessageController.java,538,Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()',MAJOR,CODE_SMELL
java:S1141,service/src/main/java/org/whispersystems/textsecuregcm/controllers/MessageController.java,665,Extract this nested try block into a separate method.,MAJOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/GroupCredentials.java,14,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/storage/MessagePersister.java,59,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S6204,service/src/main/java/org/whispersystems/textsecuregcm/storage/MessagesManager.java,149,Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()',MAJOR,CODE_SMELL
java:S1128,service/src/main/java/org/whispersystems/textsecuregcm/util/DestinationDeviceValidator.java,11,Remove this unused import 'java.util.Optional'.,MINOR,CODE_SMELL
java:S4276,service/src/main/java/org/whispersystems/textsecuregcm/util/DestinationDeviceValidator.java,27,Refactor this code to use the more specialised Functional Interface 'ToLongFunction<T>',MINOR,CODE_SMELL
java:S4276,service/src/main/java/org/whispersystems/textsecuregcm/util/DestinationDeviceValidator.java,27,Refactor this code to use the more specialised Functional Interface 'ToIntFunction<T>',MINOR,CODE_SMELL
java:S6204,service/src/main/java/org/whispersystems/textsecuregcm/util/DestinationDeviceValidator.java,66,Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()',MAJOR,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/controllers/KeysController.java,151,Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.,CRITICAL,CODE_SMELL
